symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
JNJ,2019-04-18 00:00:00+00:00,137.52,140.24,135.75,139.35,10485289,120.917030554,123.3086413968,119.3607249688,122.5260922608,10485289,0.0,1.0
JNJ,2019-04-22 00:00:00+00:00,137.83,138.49,136.46,136.98,4666537,121.1896038486,121.7699211855,119.9850057403,120.4422254602,4666537,0.0,1.0
JNJ,2019-04-23 00:00:00+00:00,139.9,140.85,137.25,137.42,5790482,123.0096900415,123.8449952991,120.6796280071,120.8291036848,5790482,0.0,1.0
JNJ,2019-04-24 00:00:00+00:00,139.2,140.14,138.86,139.65,5676338,122.3942019569,123.2207145276,122.0952506016,122.7898728684,5676338,0.0,1.0
JNJ,2019-04-25 00:00:00+00:00,139.65,139.77,137.96,138.52,5218088,122.7898728684,122.8953851115,121.3039087786,121.7962992462,5218088,0.0,1.0
JNJ,2019-04-26 00:00:00+00:00,140.39,140.52,139.31,139.88,4613583,123.4405317007,123.5548366307,122.4909215131,122.9921046676,4613583,0.0,1.0
JNJ,2019-04-29 00:00:00+00:00,139.84,140.43,139.58,140.35,4275158,122.95693392,123.4757024484,122.72832406,123.405360953,4275158,0.0,1.0
JNJ,2019-04-30 00:00:00+00:00,141.2,141.45,138.96,140.19,6003702,124.1527393414,124.3725565144,122.1831774708,123.2646779622,6003702,0.0,1.0
JNJ,2019-05-01 00:00:00+00:00,141.95,142.35,139.75,140.95,6656335,124.8121908605,125.1638983374,122.8777997377,123.9329221683,6656335,0.0,1.0
JNJ,2019-05-02 00:00:00+00:00,141.28,142.15,140.12,141.91,8835587,124.2230808368,124.988044599,123.2031291538,124.7770201129,8835587,0.0,1.0
JNJ,2019-05-03 00:00:00+00:00,142.01,142.09,141.08,141.29,5281630,124.8649469821,124.9352884775,124.0472270983,124.2318735237,5281630,0.0,1.0
JNJ,2019-05-06 00:00:00+00:00,142.09,142.24,139.93,140.25,5818880,124.9352884775,125.0671787813,123.0360681023,123.3174340838,5818880,0.0,1.0
JNJ,2019-05-07 00:00:00+00:00,139.97,141.38,139.06,140.82,6606664,123.07123885,124.311007706,122.27110434,123.8186172383,6606664,0.0,1.0
JNJ,2019-05-08 00:00:00+00:00,139.79,140.92,139.7,140.2,4667257,122.9129704854,123.9065441076,122.8338363031,123.2734706492,4667257,0.0,1.0
JNJ,2019-05-09 00:00:00+00:00,138.73,139.32,137.64,138.95,5604201,121.9809456716,122.4997142,121.0225427971,122.1743847839,5604201,0.0,1.0
